Category Path,Service,Tag,Score
C:\Users\yahel\Downloads\Categories\animals\bird\14centre (1).jpg,clarifai,animal,0.924482
C:\Users\yahel\Downloads\Categories\animals\bird\14centre (1).jpg,clarifai,art,0.974693
C:\Users\yahel\Downloads\Categories\animals\bird\14centre (1).jpg,clarifai,barn,0.879358
C:\Users\yahel\Downloads\Categories\animals\bird\14centre (1).jpg,clarifai,cattle,0.959152
C:\Users\yahel\Downloads\Categories\animals\bird\14centre (1).jpg,clarifai,cavalry,0.95813
C:\Users\yahel\Downloads\Categories\animals\bird\14centre (1).jpg,clarifai,crib,0.872918
C:\Users\yahel\Downloads\Categories\animals\bird\14centre (1).jpg,clarifai,fall,0.911893
C:\Users\yahel\Downloads\Categories\animals\bird\14centre (1).jpg,clarifai,farm,0.911123
C:\Users\yahel\Downloads\Categories\animals\bird\14centre (1).jpg,clarifai,goat,0.938487
C:\Users\yahel\Downloads\Categories\animals\bird\14centre (1).jpg,clarifai,group,0.966905
C:\Users\yahel\Downloads\Categories\animals\bird\14centre (1).jpg,clarifai,herd,0.936653
C:\Users\yahel\Downloads\Categories\animals\bird\14centre (1).jpg,clarifai,illustration,0.974574
C:\Users\yahel\Downloads\Categories\animals\bird\14centre (1).jpg,clarifai,lamb,0.888228
C:\Users\yahel\Downloads\Categories\animals\bird\14centre (1).jpg,clarifai,livestock,0.979083
C:\Users\yahel\Downloads\Categories\animals\bird\14centre (1).jpg,clarifai,mammal,0.986833
C:\Users\yahel\Downloads\Categories\animals\bird\14centre (1).jpg,clarifai,many,0.972739
C:\Users\yahel\Downloads\Categories\animals\bird\14centre (1).jpg,clarifai,nature,0.941192
C:\Users\yahel\Downloads\Categories\animals\bird\14centre (1).jpg,clarifai,no person,0.941656
C:\Users\yahel\Downloads\Categories\animals\bird\14centre (1).jpg,clarifai,painting,0.952134
C:\Users\yahel\Downloads\Categories\animals\bird\14centre (1).jpg,clarifai,sheep,0.983012
C:\Users\yahel\Downloads\Categories\animals\bird\6lady.jpg,clarifai,adult,0.992769
C:\Users\yahel\Downloads\Categories\animals\bird\6lady.jpg,clarifai,boy,0.870194
C:\Users\yahel\Downloads\Categories\animals\bird\6lady.jpg,clarifai,child,0.869495
C:\Users\yahel\Downloads\Categories\animals\bird\6lady.jpg,clarifai,facial expression,0.949006
C:\Users\yahel\Downloads\Categories\animals\bird\6lady.jpg,clarifai,fashion,0.800626
C:\Users\yahel\Downloads\Categories\animals\bird\6lady.jpg,clarifai,girl,0.943055
C:\Users\yahel\Downloads\Categories\animals\bird\6lady.jpg,clarifai,gown,0.870206
C:\Users\yahel\Downloads\Categories\animals\bird\6lady.jpg,clarifai,indoors,0.811476
C:\Users\yahel\Downloads\Categories\animals\bird\6lady.jpg,clarifai,lid,0.952663
C:\Users\yahel\Downloads\Categories\animals\bird\6lady.jpg,clarifai,man,0.944887
C:\Users\yahel\Downloads\Categories\animals\bird\6lady.jpg,clarifai,model,0.827653
C:\Users\yahel\Downloads\Categories\animals\bird\6lady.jpg,clarifai,one,0.991696
C:\Users\yahel\Downloads\Categories\animals\bird\6lady.jpg,clarifai,painting,0.900647
C:\Users\yahel\Downloads\Categories\animals\bird\6lady.jpg,clarifai,people,0.996939
C:\Users\yahel\Downloads\Categories\animals\bird\6lady.jpg,clarifai,portrait,0.974206
C:\Users\yahel\Downloads\Categories\animals\bird\6lady.jpg,clarifai,side view,0.807613
C:\Users\yahel\Downloads\Categories\animals\bird\6lady.jpg,clarifai,two,0.940864
C:\Users\yahel\Downloads\Categories\animals\bird\6lady.jpg,clarifai,veil,0.956026
C:\Users\yahel\Downloads\Categories\animals\bird\6lady.jpg,clarifai,wear,0.983106
C:\Users\yahel\Downloads\Categories\animals\bird\6lady.jpg,clarifai,woman,0.983564
C:\Users\yahel\Downloads\Categories\animals\bird\birdspax (1).jpg,clarifai,art,0.992137
C:\Users\yahel\Downloads\Categories\animals\bird\birdspax (1).jpg,clarifai,baby,0.791575
C:\Users\yahel\Downloads\Categories\animals\bird\birdspax (1).jpg,clarifai,bird,0.999517
C:\Users\yahel\Downloads\Categories\animals\bird\birdspax (1).jpg,clarifai,dame,0.807454
C:\Users\yahel\Downloads\Categories\animals\bird\birdspax (1).jpg,clarifai,duck,0.787706
C:\Users\yahel\Downloads\Categories\animals\bird\birdspax (1).jpg,clarifai,feather,0.803167
C:\Users\yahel\Downloads\Categories\animals\bird\birdspax (1).jpg,clarifai,group,0.954344
C:\Users\yahel\Downloads\Categories\animals\bird\birdspax (1).jpg,clarifai,illustration,0.996812
C:\Users\yahel\Downloads\Categories\animals\bird\birdspax (1).jpg,clarifai,lithograph,0.835632
C:\Users\yahel\Downloads\Categories\animals\bird\birdspax (1).jpg,clarifai,livestock,0.788481
C:\Users\yahel\Downloads\Categories\animals\bird\birdspax (1).jpg,clarifai,no person,0.922378
C:\Users\yahel\Downloads\Categories\animals\bird\birdspax (1).jpg,clarifai,painting,0.997742
C:\Users\yahel\Downloads\Categories\animals\bird\birdspax (1).jpg,clarifai,people,0.914522
C:\Users\yahel\Downloads\Categories\animals\bird\birdspax (1).jpg,clarifai,pigeon,0.870013
